image_name,label,num,fold,pred,diff,label_old
0002.png,0.523206353187561,2,0,0.9535873,0.04641270637512207,0.95
0006.png,0.5209461748600006,6,0,0.95810765,0.04189234972000122,0.95
0015.png,0.5581609010696411,15,0,0.8836782,0.11632180213928223,0.95
0016.png,0.522663414478302,16,0,0.9546732,0.045326828956604004,0.95
0021.png,0.5355017483234406,21,0,0.9289965,0.0710034966468811,0.95
0022.png,0.46959509141743183,22,0,0.060809817,-0.06080981716513634,0.05
0037.png,0.5448782742023468,37,0,0.91024345,0.0897565484046936,0.95
0039.png,0.5168351233005524,39,0,0.96632975,0.033670246601104736,0.95
0041.png,0.5163634121417999,41,0,0.9672732,0.032726824283599854,0.95
0055.png,0.4679444693028927,55,0,0.06411106,-0.06411106139421463,0.05
0056.png,0.46731922775506973,56,0,0.065361544,-0.06536154448986053,0.05
0062.png,0.5322397649288177,62,0,0.93552047,0.0644795298576355,0.95
0067.png,0.5287651419639587,67,0,0.9424697,0.05753028392791748,0.95
0078.png,0.5290468633174896,78,0,0.9419063,0.05809372663497925,0.95
0080.png,0.48142363131046295,80,0,0.037152737,-0.0371527373790741,0.05
0096.png,0.47251215763390064,96,0,0.054975685,-0.054975684732198715,0.05
0108.png,0.5140449702739716,108,0,0.97191006,0.028089940547943115,0.95
0110.png,0.4757751636207104,110,0,0.048449673,-0.048449672758579254,0.05
0111.png,0.4680348224937916,111,0,0.063930355,-0.06393035501241684,0.05
0120.png,0.47604968026280403,120,0,0.04790064,-0.04790063947439194,0.05
0124.png,0.4906107699498534,124,0,0.01877846,-0.01877846010029316,0.05
0135.png,0.5220359861850739,135,0,0.955928,0.044071972370147705,0.95
0137.png,0.45357249304652214,137,0,0.092855014,-0.09285501390695572,0.05
0140.png,0.5745669603347778,140,0,0.8508661,0.14913392066955566,0.95
0141.png,0.47313736379146576,141,0,0.053725272,-0.05372527241706848,0.05
0143.png,0.5370651185512543,143,0,0.92586976,0.07413023710250854,0.95
0145.png,0.45799165219068527,145,0,0.084016696,-0.08401669561862946,0.05
0148.png,0.48348074965178967,148,0,0.0330385,-0.03303850069642067,0.05
0171.png,0.5230673551559448,171,0,0.9538653,0.04613471031188965,0.95
0173.png,0.5744508802890778,173,0,0.85109824,0.14890176057815552,0.95
0174.png,0.4634037986397743,174,0,0.0731924,-0.07319240272045135,0.05
0184.png,0.47475406154990196,184,0,0.050491877,-0.050491876900196075,0.05
0186.png,0.47854637540876865,186,0,0.04290725,-0.04290724918246269,0.05
0189.png,0.5390611290931702,189,0,0.92187774,0.07812225818634033,0.95
