image_name,label,label_test_0,label_tta_0,label_tmix_0,label_test_1,label_tta_1,label_tmix_1,label_test_2,label_tta_2,label_tmix_2,label_test_3,label_tta_3,label_tmix_3,label_test_4,label_tta_4,label_tmix_4
2176.png,0.21062496,0.072563216,0.07355403,0.072563216,0.71958184,0.6842096,0.71958184,0.03747806,0.040497858,0.03747806,0.13839047,0.16171892,0.13839047,0.13403444,0.085111186,0.085111186
2177.png,0.661791,0.48251453,0.5070999,0.48251453,0.9323563,0.93439984,0.93439984,0.87615156,0.7504333,0.87615156,0.8082349,0.7915316,0.8082349,0.20765431,0.23369846,0.20765431
2178.png,0.061709672,0.07051742,0.06892976,0.06892976,0.09023176,0.13012904,0.09023176,0.037036557,0.038193632,0.037036557,0.060045928,0.060672037,0.060045928,0.052304354,0.07228428,0.052304354
2179.png,0.95121753,0.95005107,0.94944376,0.95005107,0.95474833,0.95689297,0.95689297,0.9479932,0.8611561,0.9479932,0.9504771,0.94690096,0.9504771,0.95067316,0.94532233,0.95067316
2180.png,0.057178248,0.067095555,0.07447468,0.067095555,0.04728836,0.047891147,0.04728836,0.07604473,0.1887924,0.07604473,0.042169582,0.04705347,0.042169582,0.05329301,0.05542259,0.05329301
2181.png,0.94967854,0.9473421,0.9487551,0.9487551,0.9564946,0.95580107,0.9564946,0.94790643,0.94976175,0.94976175,0.93739194,0.9386792,0.9386792,0.95470184,0.95310813,0.95470184
2182.png,0.072759084,0.055884432,0.05863423,0.055884432,0.17546275,0.23432976,0.17546275,0.044477258,0.04654243,0.044477258,0.045621805,0.0695296,0.045621805,0.042349156,0.05105223,0.042349156
2183.png,0.09219517,0.118070036,0.36176825,0.118070036,0.16048859,0.45708495,0.16048859,0.054141816,0.056091335,0.054141816,0.07805969,0.21290381,0.07805969,0.050215736,0.112420596,0.050215736
2184.png,0.8131608,0.9642856,0.9602131,0.9642856,0.87890464,0.87467647,0.87890464,0.9424542,0.928364,0.9424542,0.7986347,0.77899337,0.7986347,0.4937891,0.48152465,0.48152465
2185.png,0.7937954,0.6653898,0.7150944,0.7150944,0.7128606,0.5478876,0.7128606,0.919386,0.7869378,0.919386,0.6900361,0.32064682,0.6900361,0.9315999,0.91434145,0.9315999
2186.png,0.14500663,0.30966344,0.30152914,0.30152914,0.057961266,0.05824507,0.057961266,0.22161694,0.41269994,0.22161694,0.055155125,0.06606678,0.055155125,0.08877078,0.10941773,0.08877078
2187.png,0.53172815,0.8042499,0.7154366,0.8042499,0.49937284,0.7409376,0.7409376,0.14758606,0.3313898,0.14758606,0.7741624,0.8209029,0.8209029,0.14496416,0.2551147,0.14496416
2188.png,0.046835773,0.0522601,0.1136877,0.0522601,0.049747027,0.18603888,0.049747027,0.043293722,0.047487434,0.043293722,0.03511796,0.06745687,0.03511796,0.053760044,0.12760103,0.053760044
2189.png,0.12029056,0.09408766,0.14744087,0.09408766,0.06515898,0.060167454,0.060167454,0.054518584,0.052570734,0.052570734,0.08158953,0.10614972,0.08158953,0.56242675,0.31303748,0.31303748
2190.png,0.05775743,0.050395824,0.053649947,0.050395824,0.0592208,0.061906688,0.0592208,0.061956376,0.089333065,0.061956376,0.062991925,0.067898825,0.062991925,0.05424613,0.054222226,0.054222226
2191.png,0.9502141,0.95786357,0.95300823,0.95786357,0.9498888,0.8740537,0.9498888,0.95458406,0.94927526,0.95458406,0.9381729,0.93798983,0.9381729,0.95056117,0.9488313,0.95056117
2192.png,0.30184904,0.50648296,0.54754573,0.54754573,0.5733768,0.54826033,0.5733768,0.12153069,0.14575702,0.12153069,0.13363257,0.112235464,0.112235464,0.15455651,0.19256796,0.15455651
2193.png,0.73759305,0.5709935,0.49264205,0.5709935,0.6477616,0.6191193,0.6477616,0.9423799,0.93718386,0.9423799,0.77644694,0.864567,0.864567,0.5254496,0.66226315,0.66226315
2194.png,0.95815563,0.9545649,0.95627123,0.95627123,0.963648,0.9600552,0.963648,0.9568567,0.9617893,0.9617893,0.9440812,0.94907796,0.94907796,0.95055974,0.9599916,0.9599916
2195.png,0.86818933,0.7894027,0.8641392,0.8641392,0.948683,0.9508704,0.9508704,0.93253195,0.93321115,0.93321115,0.5668779,0.6560499,0.6560499,0.936676,0.92912954,0.936676
2196.png,0.062310047,0.06313494,0.062222276,0.062222276,0.07095517,0.06485716,0.06485716,0.05401136,0.052645832,0.052645832,0.06696421,0.06404085,0.06404085,0.076134644,0.0677841,0.0677841
2197.png,0.7755915,0.9542499,0.9458806,0.9542499,0.9517158,0.95381093,0.95381093,0.10617443,0.10973689,0.10617443,0.93879896,0.913681,0.93879896,0.92492306,0.5890471,0.92492306
2198.png,0.67183864,0.14043649,0.19245842,0.14043649,0.9270666,0.9194582,0.9270666,0.88983965,0.8737691,0.88983965,0.5603002,0.7156976,0.7156976,0.68615305,0.6032435,0.68615305
2199.png,0.94702417,0.9400976,0.94118744,0.94118744,0.95953244,0.958805,0.95953244,0.938736,0.93716186,0.938736,0.9380996,0.9378192,0.9380996,0.9575653,0.9533065,0.9575653
2200.png,0.50761366,0.10936373,0.16427308,0.10936373,0.78873205,0.70159495,0.78873205,0.88024575,0.8574339,0.88024575,0.39310023,0.43359792,0.39310023,0.6278152,0.36662662,0.36662662
2201.png,0.5116661,0.23110768,0.20563358,0.20563358,0.94610727,0.95714456,0.95714456,0.32544094,0.33463904,0.32544094,0.27214485,0.33508122,0.27214485,0.7693393,0.7979668,0.7979668
2202.png,0.08713175,0.09046949,0.09566013,0.09046949,0.053112317,0.059488732,0.053112317,0.05327115,0.052072816,0.052072816,0.15369982,0.13651812,0.13651812,0.10348604,0.11287096,0.10348604
