image_name,label,label_test_0,label_tta_0,label_tmix_0,label_test_1,label_tta_1,label_tmix_1,label_test_2,label_tta_2,label_tmix_2,label_test_3,label_tta_3,label_tmix_3,label_test_4,label_tta_4,label_tmix_4
2176.png,0.26958317,0.7860226,0.47502625,0.7860226,0.34645477,0.61047095,0.34645477,0.06579726,0.08431941,0.06579726,0.08247186,0.093264095,0.08247186,0.06716926,0.07546712,0.06716926
2177.png,0.55726147,0.32462564,0.20501684,0.20501684,0.15292889,0.16328567,0.15292889,0.7067624,0.6608751,0.7067624,0.8060162,0.7674854,0.8060162,0.9155831,0.7996542,0.9155831
2178.png,0.25426805,0.06609494,0.058992103,0.058992103,0.025326386,0.04936572,0.025326386,0.3703054,0.50082827,0.3703054,0.7749917,0.77528787,0.77528787,0.04142839,0.041463487,0.04142839
2179.png,0.9591179,0.96459764,0.9564414,0.96459764,0.96097696,0.95878613,0.96097696,0.9585218,0.9577758,0.9585218,0.9534741,0.948633,0.9534741,0.958019,0.95505023,0.958019
2180.png,0.05856557,0.07809929,0.081368685,0.07809929,0.053684767,0.15201448,0.053684767,0.05082889,0.052217413,0.05082889,0.05797123,0.062728636,0.05797123,0.052243665,0.055833094,0.052243665
2181.png,0.9528448,0.9654278,0.9676018,0.9676018,0.952309,0.95457363,0.95457363,0.9470598,0.9507025,0.9507025,0.9428335,0.94000053,0.9428335,0.9478153,0.9485127,0.9485127
2182.png,0.077796265,0.14380611,0.14226171,0.14226171,0.04708612,0.048946068,0.04708612,0.069130555,0.06662903,0.06662903,0.0775952,0.098198384,0.0775952,0.055409286,0.06030437,0.055409286
2183.png,0.2090775,0.13644953,0.2476619,0.13644953,0.048605166,0.06287701,0.048605166,0.101775035,0.16539007,0.101775035,0.49007273,0.5825979,0.5825979,0.17595986,0.18301095,0.17595986
2184.png,0.85166633,0.9197159,0.9237403,0.9237403,0.9098679,0.91785145,0.91785145,0.8314025,0.7508838,0.8314025,0.9500714,0.95503664,0.95503664,0.6303007,0.60693413,0.6303007
2185.png,0.69254005,0.76874065,0.65410787,0.76874065,0.15149112,0.16321142,0.15149112,0.77109337,0.72990656,0.77109337,0.8181883,0.714568,0.8181883,0.9531868,0.94583046,0.9531868
2186.png,0.07748602,0.052860063,0.058037993,0.052860063,0.06191979,0.0625677,0.06191979,0.037511732,0.089032486,0.037511732,0.18041404,0.20765185,0.18041404,0.054724522,0.055509478,0.054724522
2187.png,0.608771,0.77688503,0.6030779,0.77688503,0.5286604,0.324186,0.324186,0.87563866,0.8793032,0.8793032,0.2010166,0.34279752,0.2010166,0.86246455,0.86052537,0.86246455
2188.png,0.19959427,0.034873184,0.03648733,0.034873184,0.09910617,0.23867883,0.09910617,0.06155103,0.08347597,0.06155103,0.46510306,0.5514162,0.5514162,0.25102478,0.36298418,0.25102478
2189.png,0.13519265,0.04935692,0.095546514,0.04935692,0.067031465,0.0653904,0.0653904,0.0486754,0.06847396,0.0486754,0.17618044,0.1806906,0.17618044,0.35626456,0.33636007,0.33636007
2190.png,0.059753604,0.054574326,0.05416937,0.05416937,0.057086922,0.075775504,0.057086922,0.05602408,0.054455493,0.054455493,0.079463206,0.07346299,0.07346299,0.059593223,0.061055772,0.059593223
2191.png,0.87405145,0.856599,0.8685046,0.8685046,0.9322279,0.93511915,0.93511915,0.8851585,0.9026227,0.9026227,0.722379,0.6787011,0.722379,0.94163215,0.90620416,0.94163215
